TeamID,Team Name,2019-2020 Revenue,2018-2019 Revenue,2019 Average Ticket Price,Total Team Value
0,Chicago Bulls,304,322,133,3140
1,Cleveland Cavaliers,256,293,72,1740
2,Dallas Mavericks,296,322,110,2580
3,Toronto Raptors,292,341,179,2550
4,New York Knicks,428,472,261,5420
5,Miami Heat,283,310,150,2380
6,Golden State Warriors,434,444,458,5210
7,Portland Trail Blazers,258,298,103,1910
8,Utah Jazz,251,273,117,1710
9,LA Clippers,297,300,267,2630
10,Los Angeles Lakers,418,459,473,5140
11,San Antonio Spurs,279,298,177,2050
12,Boston Celtics,308,341,154,3180
13,Oklahoma City Thunder,257,280,137,1660
14,Houston Rockets,344,385,189,2770
15,Washington Wizards,247,278,92,2050
16,Orlando Magic,227,249,87,1530
17,Charlotte Hornets,233,251,64,1510
18,Sacramento Kings,275,298,107,1840
19,Phoenix Suns,231,249,85,1640
20,Indiana Pacers,228,249,94,1550
21,Atlanta Hawks,236,254,107,1540
22,New Orleans Pelicans,213,229,105,1350
23,Memphis Grizzlies,213,229,73,1360
24,Detroit Pistons,258,279,69,1740
25,Milwaukee Bucks,259,299,132,1860
26,Brooklyn Nets,283,312,242,3400
27,Philadelphia 76ers,284,312,150,2500
28,Minnesota Timberwolves,218,234,58,1430
29,Denver Nuggets,226,259,154,1770
