seasonID,Starting Year,Rank,Team,Home: Total Attendance,Home: Avg Attendance
0,2015,1,Chicago Bulls,894659,21820
1,2015,2,Cleveland Cavaliers,843042,20562
2,2015,3,Dallas Mavericks,825901,20143
3,2015,4,Toronto Raptors,812863,19825
4,2015,5,New York Knicks,812292,19812
5,2015,6,Miami Heat,809350,19740
6,2015,7,Golden State Warriors,803436,19596
7,2015,8,Portland Trail Blazers,794085,19367
8,2015,9,Utah Jazz,791489,19304
9,2015,10,LA Clippers,786910,19192
10,2015,11,Los Angeles Lakers,778877,18997
11,2015,12,San Antonio Spurs,756445,18449
12,2015,13,Boston Celtics,749076,18270
13,2015,14,Oklahoma City Thunder,746323,18203
14,2015,15,Houston Rockets,737244,17981
15,2015,16,Washington Wizards,725426,17693
16,2015,17,Orlando Magic,719275,17543
17,2015,18,Charlotte Hornets,716894,17485
18,2015,19,Sacramento Kings,707526,17256
19,2015,20,Phoenix Suns,701405,17107
20,2015,21,Indiana Pacers,690733,16847
21,2015,22,Atlanta Hawks,690150,16832
22,2015,23,New Orleans Pelicans,688549,16793
23,2015,24,Memphis Grizzlies,684603,16697
24,2015,25,Detroit Pistons,677138,16515
25,2015,26,Milwaukee Bucks,621808,15166
26,2015,27,Brooklyn Nets,620142,15125
27,2015,28,Philadelphia 76ers,610121,14881
28,2015,29,Minnesota Timberwolves,581178,14175
29,2015,30,Denver Nuggets,577898,14095
30,2014,1,Chicago Bulls,875091,21343
31,2014,2,Cleveland Cavaliers,843042,20562
32,2014,3,Dallas Mavericks,827702,20187
33,2014,4,New York Knicks,812292,19812
34,2014,5,Toronto Raptors,809824,19751
35,2014,6,Miami Heat,808223,19712
36,2014,7,Golden State Warriors,803436,19596
37,2014,8,Portland Trail Blazers,801733,19554
38,2014,9,LA Clippers,785892,19168
39,2014,10,Utah Jazz,772059,18830
40,2014,11,Los Angeles Lakers,768244,18737
41,2014,12,San Antonio Spurs,762855,18606
42,2014,13,Washington Wizards,747796,18238
43,2014,14,Houston Rockets,747412,18229
44,2014,15,Oklahoma City Thunder,746323,18203
45,2014,16,Boston Celtics,721350,17593
46,2014,17,Atlanta Hawks,713909,17412
47,2014,18,Memphis Grizzlies,710502,17329
48,2014,19,Charlotte Hornets,704886,17192
49,2014,20,Brooklyn Nets,698529,17037
50,2014,21,Phoenix Suns,693862,16923
51,2014,22,Indiana Pacers,691434,16864
52,2014,23,Orlando Magic,688194,16785
53,2014,24,New Orleans Pelicans,683757,16677
54,2014,25,Sacramento Kings,680049,16586
55,2014,26,Detroit Pistons,625917,15266
56,2014,27,Milwaukee Bucks,611226,14907
57,2014,28,Denver Nuggets,602707,14700
58,2014,29,Minnesota Timberwolves,595652,14528
59,2014,30,Philadelphia 76ers,571572,13940
60,2013,1,Chicago Bulls,890370,21716
