event_id,matchup,home_team,away_team,venue,address,state,date,start_Time,min_Price,max_Price
0,Houston Rockets vs. Golden State Warriors,Houston Rockets,Golden State Warriors,Toyota Center - TX,1510 Polk St,TX,2021-05-01,18:30:00,0,0
1,Houston Rockets vs. LA Clippers,Houston Rockets,LA Clippers,Toyota Center - TX,1510 Polk St,TX,2021-04-23,19:00:00,0,0
2,Houston Rockets vs. Utah Jazz,Houston Rockets,Utah Jazz,Toyota Center - TX,1510 Polk St,TX,2021-04-21,19:00:00,0,0
3,Los Angeles Lakers vs. Utah Jazz,Los Angeles Lakers,Utah Jazz,STAPLES Center,1111 S. Figueroa St,CA,2021-04-19,19:00:00,45,654
4,Orlando Magic vs. Los Angeles Lakers,Orlando Magic,Los Angeles Lakers,Amway Center,400 W Church St.,FL,2021-04-26,19:00:00,85,2496.5
5,Miami Heat vs. Houston Rockets,Miami Heat,Houston Rockets,AmericanAirlines Arena,601 Biscayne Blvd,FL,2021-04-19,20:00:00,15,285
6,Los Angeles Lakers vs. Sacramento Kings,Los Angeles Lakers,Sacramento Kings,STAPLES Center,1111 S. Figueroa St,CA,2021-04-30,19:30:00,45,654
7,Houston Rockets vs. Milwaukee Bucks,Houston Rockets,Milwaukee Bucks,Toyota Center - TX,1510 Polk St,TX,2021-04-29,19:00:00,0,0
8,Toronto Raptors vs. Memphis Grizzlies,Toronto Raptors,Memphis Grizzlies,Amalie Arena,401 Channelside Dr,FL,2021-05-08,19:30:00,16.25,106.25
9,Houston Rockets vs. LA Clippers,Houston Rockets,LA Clippers,Toyota Center - TX,1510 Polk St,TX,2021-05-14,20:00:00,0,0
10,Toronto Raptors vs. Indiana Pacers,Toronto Raptors,Indiana Pacers,Amalie Arena,401 Channelside Dr,FL,2021-05-16, ,16.25,106.25
11,Milwaukee Bucks vs. Washington Wizards,Milwaukee Bucks,Washington Wizards,Fiserv Forum,1111 Vel R. Phillips Ave,WI,2021-05-05,19:00:00,40,600
12,Houston Rockets vs. New York Knicks,Houston Rockets,New York Knicks,Toyota Center - TX,1510 Polk St,TX,2021-05-02,19:00:00,0,0
